Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
Ve a lo seguro: Gestiona los riesgos de seguridad,4.9,Beginner level,Flexible schedule,"Identifica las principales amenazas, riesgos y vulnerabilidades para las operaciones comercialesExamina cómo las organizaciones utilizan los marcos y controles de seguridad para proteger las operaciones comercialesDefine las herramientas de información de seguridad y gestión de eventos (SIEM); úsalas para analizar e identificar riesgos o vulnerabilidades Usa un manual de estrategia para responder a amenazas, riesgos o vulnerabilidades","Marcos de ciberseguridad (CSF) del NIST, Manuales de respuesta a incidentes, Seguridad de la información (INFOSEC), Marcos y controles de seguridad, Marco de gestión de riesgos (RMF) del NIST",12,384
Building Deep Learning Models with TensorFlow,4.4,Intermediate level,Flexible schedule,"Explain foundational TensorFlow concepts such as the main functions, operations and the execution pipelines. Describe how TensorFlow can be used in curve fitting, regression, classification and minimization of error functions.Analyze different types of Deep Architectures, such as Convolutional Networks, Recurrent Networks and Autoencoders.Apply TensorFlow for backpropagation to tune the weights and biases while the Neural Networks are being trained.",Not specified,7,787
Transmission electron microscopy for materials science,4.6,Intermediate level,Flexible schedule,You will be able to understand papers where TEM has been used and have the necessary theoretical basis for taking a practical training on the TEM.,Not specified,45,113
Introduction to HTML5,4.7,Beginner level,Flexible schedule, Recognize and use common HTML5 tags. Be aware of what an editor is and how to use one. Compose HTML5 code that can create images and links.,"Web Design, Web Accessibility, HTML, Html5",11,27181
Introduction to Thermodynamics: Transferring Energy from Here to There,4.8,Beginner level,Flexible schedule,"Understand the tools you need to analyze energy systems.Understand energy systems and demands, and how they are deeply tied to challenges of clean water, health, food resources, and poverty.  ","Energy, Energy Systems, Mechanical Engineering, Energy Analysis",15,3344
"Spark, Hadoop, and Snowflake for Data Engineering",0,Advanced level,Flexible schedule,"Create scalable data pipelines (Hadoop, Spark, Snowflake, Databricks) for efficient data handling.Optimize data engineering with clustering and scaling to boost performance and resource use.Build ML solutions (PySpark, MLFlow) on Databricks for seamless model development and deployment.Implement DataOps and DevOps practices for continuous integration and deployment (CI/CD) of data-driven applications, including automating processes.","Big Data, Python Programming, Information Engineering, Apache Hadoop, Apache Spark",29,0
Introduction to Structured Query Language (SQL),4.8,Intermediate level,Flexible schedule,"Learn about the basic syntax of the SQL language, as well as database design with multiple tables, foreign keys, and the JOIN operation.Learn to model many-to-many relationships like those needed to represent users, roles, and courses.","Phpmyadmin, Relational Database, SQL, MySQL",15,5260
C++ Programming for Unreal Game Development Specialization,4.5,Intermediate level,Flexible schedule,Not specified,"Video Game Development, Unreal Engine (User Interface), Game Programming, C++ (Programming Language)",80,155
Introduction to Big Data with Spark and Hadoop,4.4,Intermediate level,Flexible schedule,"Explain the impact of big data, including use cases, tools, and processing methods.Describe Apache Hadoop architecture, ecosystem, practices, and user-related applications, including Hive, HDFS, HBase, Spark, and MapReduce.Apply Spark programming basics, including parallel programming basics for DataFrames, data sets, and Spark SQL.Use Spark’s RDDs and data sets, optimize Spark SQL using Catalyst and Tungsten, and use Spark’s development and runtime environment options.","Big Data, SparkSQL, SparkML, Apache Hadoop, Apache Spark",18,308
User Interface Design Specialization,4.6,Intermediate level,Flexible schedule,Not specified,"User Research, Heuristic Evaluation, User Interface Design (UI Design), User Interface, Usability, Design Theory",40,1384
Application Development using Microservices and Serverless ,4.6,Intermediate level,Flexible schedule,"Summarize the fundamentals of Microservices, their advantages, and contrast with monolithic architectures.Create REST API endpoints and invoke them using cURL and Postman; Use SwaggerUI to document and test APIs.Create, and deploy microservices using Docker containers and serverless technologies like IBM Code Engine.Practice hands-on with labs and projects using a no-charge cloud-based environment.","Representational State Transfer (REST), Cloud Applications, Openshift, Microservices, serverless",15,210
Introduction to battery-management systems,4.8,Intermediate level,Flexible schedule,Understand how lithium-ion battery cells workUnderstand the requirements of a battery-management system,"Understand the requirements of a battery-management system, Understand how lithium-ion battery cells work",24,2031
